address,settlement_date,price,area,zone
52 LILLY PL ABERMAIN 2326,20260109,560000,2010.0,R5
14 WEST AVE CESSNOCK 2325,20260109,700000,404.71,R3
9 CLIFT ST BRANXTON 2335,20260115,750000,643.9,R3
37 FERGUSON ST CESSNOCK 2325,20260114,660000,575.4,R3
31 LISMORE ST ABERMAIN 2326,20260113,320000,771.4,R2
47 CONGEWAI ST ABERDARE 2325,20260115,660000,1012.0,R2
87 ALLANDALE RD CESSNOCK 2325,20260115,900000,809.43,R2
6 BOOMERANG ST CESSNOCK 2325,20260109,675000,676.6,R3
8 CONDON AVE CESSNOCK 2325,20260113,760000,613.11,R3
33 SHEDDEN ST CESSNOCK 2325,20260115,690000,727.36,R3
11 YILGARN AVE CESSNOCK 2325,20260115,650000,809.43,R3
166 HOPETOUN ST KURRI KURRI 2327,20260112,635000,500.8,R3
197 HOPETOUN ST KURRI KURRI 2327,20260109,795000,1012.0,R3
18 GOVERNMENT RD WESTON 2326,20260109,642000,738.4,R3
52 RAWSON ST KURRI KURRI 2327,20260114,138000,1012.0,R3
3 RAWSON ST WESTON 2326,20260115,560000,651.3,R3
17 OXFORD ST GRETA 2334,20260109,700000,1024.0,R2
33 KENT ST GRETA 2334,20260112,645000,1025.67,R2
9 CAMELLIA CL ELRINGTON 2325,20260113,1340000,5046.0,R5
2 CHARLTON ST BELLBIRD 2325,20260112,820000,1303.0,R2
81 KESTERTON RISE NORTH ROTHBURY 2335,20260113,850000,484.8,R1
76 ABBOTSFORD ST BELLBIRD 2325,20260113,432888,647.5,R2
14 CAMARGO CCT HEDDON GRETA 2321,20260114,859000,595.0,R2
16 CAMARGO CCT HEDDON GRETA 2321,20260114,848000,595.0,R2
18 CAMARGO CCT HEDDON GRETA 2321,20260114,850000,595.0,R2
10 BARNBOUGLE ST HEDDON GRETA 2321,20260114,865000,595.0,R2
24 BEAUFORT AVE BELLBIRD 2325,20260113,339000,512.3,R2
28 A BEAUFORT AVE BELLBIRD 2325,20260114,339000,769.2,R2
13 SAXONVALE GR CESSNOCK 2325,20260113,968000,862.4,R2
20 BLACKWOOD AVE CESSNOCK 2325,20260115,840000,828.3,R3
94 NORD GR NORTH ROTHBURY 2335,20260109,970000,738.9,R1
30 AVERYS LANE HEDDON GRETA 2321,20260114,960000,663.7,R2
2 AMOS RD NORTH ROTHBURY 2335,20260112,1050000,750.2,R1
11 IVEY AVE NORTH ROTHBURY 2335,20260114,900000,448.0,R1
29 A GOVERNMENT RD NORDS WHARF 2281,20260112,960000,1278.0,R2
80 THE PARK CHASE VALENTINE 2280,20260112,1410000,656.9,R2
2 PARLAH CL MOUNT HUTTON 2290,20260112,985000,633.5,R2
8 LAKEVIEW ST BOOLAROO 2284,20260115,985000,308.2,R2
12 GRIFFITHS AVE FLORAVILLE 2280,20260113,1250000,758.8,R2
2 HALL ST BELMONT 2280,20260112,850000,461.6,R3
9 LENTARA RD BELMONT NORTH 2280,20260112,878000,569.1,R2
75 BUTTABA AVE BELMONT NORTH 2280,20260112,1205000,695.6,R2
111 WOMMARA AVE BELMONT NORTH 2280,20260114,915000,512.2,R2
13 FAUCETT ST BLACKALLS PARK 2283,20260115,830000,1012.0,R3
21 FENNELL CRES BLACKALLS PARK 2283,20260112,855000,1349.0,R3
28 PARK AVE ARGENTON 2284,20260113,1038000,695.6,R3
9 ELLERTON PDE JEWELLS 2280,20260112,900000,867.8,R2
3 DALTON CL BELMONT NORTH 2280,20260115,1035000,607.0,R2
15 ELLERDALE DR GLENDALE 2285,20260113,1305000,927.9,R2
5 AMPHORA DR BALCOLYN 2264,20260115,870000,464.0,R2
37 LAYCOCK ST CAREY BAY 2283,20260114,799000,250.2,R3
1 LIPSEY ST CAMERON PARK 2285,20260115,1192500,736.8,R2
28 ST CLAIR ST BONNELLS BAY 2264,20251215,355000,1214.0,R2
28 ST CLAIR ST BONNELLS BAY 2264,20251215,355000,1214.0,R2
26 CESSNA AVE COORANBONG 2265,20260114,558888,555.0,R2
18 ROSENDAHL RD COORANBONG 2265,20260114,433888,400.0,R2
2 ROSE ST BLACKALLS PARK 2283,20260114,801555,980.1,R2
37 RUPERT ST BLACKALLS PARK 2283,20260115,850000,688.1,R2
1 FORRESTER CL WARNERS BAY 2282,20260114,1090000,524.9,R2
5 DALMENY DR MACQUARIE HILLS 2285,20260109,1231000,636.5,R2
60 TUREA ST BLACKSMITHS 2281,20260112,915000,733.5,R3
48 FIFTH ST CARDIFF SOUTH 2285,20260109,955000,735.81,R2
39 FIFTH ST CARDIFF SOUTH 2285,20260112,982000,735.81,R3
42 SEVENTH ST BOOLAROO 2284,20260114,1050000,537.5,R2
3 ALICE ST CARDIFF 2285,20260109,1000000,861.96,R2
31 GLENDALE DR GLENDALE 2285,20260115,700000,720.8,R2
84 GRANDVIEW RD NEW LAMBTON HEIGHTS 2305,20260112,1250000,906.0,R2
49 GRANDVIEW RD NEW LAMBTON HEIGHTS 2305,20260114,980000,562.8,R2
13 GREENWOOD PDE GLENDALE 2285,20260115,930000,581.7,R2
3 CAMELLIA ST CARDIFF 2285,20260112,800000,378.2,R2
303 CHARLESTOWN RD CHARLESTOWN 2290,20260114,902500,543.8,R3
13 MCDONALD CRES CHARLESTOWN 2290,20260112,792000,581.7,R2
46 ROBINIA GR GARDEN SUBURB 2289,20260113,1315000,647.2,R2
2 TARGO ST CHARLESTOWN 2290,20260109,1260000,663.9,R2
61 WIMBLEDON GR GARDEN SUBURB 2289,20260115,902000,606.5,R2
11 NEVILLE ST GLENDALE 2285,20260115,865000,1322.0,R2
3 KIRKDALE DR KOTARA SOUTH 2289,20260114,955000,600.7,R2
32 KULLAROO RD CHARLESTOWN 2290,20260109,1200000,581.7,R2
21 LINDEMAN CL ELEEBANA 2282,20260113,1116500,653.2,R2
25 OXFORD ST GATESHEAD 2290,20260115,805000,550.1,R3
77 OCEAN ST DUDLEY 2290,20260115,975000,450.0,R3
21 SEACOURT AVE DUDLEY 2290,20260112,2415000,1132.0,R2
2 AWABA ST FASSIFERN 2283,20260112,801000,714.5,R2
15 LAKE RD FENNELL BAY 2283,20260115,800000,657.6,R2
13 KAHIBAH RD HIGHFIELDS 2289,20260114,935000,499.8,R2
33 CROUDACE ST EDGEWORTH 2285,20260114,745000,524.8,R2
63 ELIZABETH ST HOLMESVILLE 2286,20260114,915000,792.4,R2
48 GRAND PDE BONNELLS BAY 2264,20260113,938000,744.3,R3
163 KAHIBAH RD CHARLESTOWN 2290,20260113,800000,1012.0,R3
15 A SAPPHIRE CL CAVES BEACH 2281,20260114,980000,319.8,R2
4 PILLAPAI RD BRIGHTWATERS 2264,20251216,1850000,1112.4,R2
52 NORTHMINSTER WAY RATHMINES 2283,20260115,1085000,763.9,R2
20 WATT ST WINDERMERE PARK 2264,20260113,850000,695.6,R2
67 AUKLET RD MOUNT HUTTON 2290,20260114,700000,961.7,R2
5 B WHARF ST MORISSET 2264,20260115,785000,352.3,R3
102 A COLLIER ST REDHEAD 2290,20260115,1265000,455.3,R2
7 FARRINGTON CL CAVES BEACH 2281,20260114,1270000,758.0,R2
121 NORTHCOTE AVE SWANSEA 2281,20260109,1200000,594.4,R2
14 SQUIRE CL VALENTINE 2280,20260114,1550000,1074.0,R2
26 PARK ST SWANSEA 2281,20260112,1350000,670.3,R2
52 STURT ST SWANSEA 2281,20260115,810000,505.9,R2
93 CARY ST TORONTO 2283,20260109,717000,695.6,R3
78 COAL POINT RD COAL POINT 2283,20260112,1300000,2023.0,R2
102 STATION ST BONNELLS BAY 2264,20260114,1110000,1132.0,R2
24 TORA ST TORONTO 2283,20260112,790000,550.1,R2
200 EXCELSIOR PDE TORONTO 2283,20260112,2400000,2644.0,R2
42 LAKE RD SWANSEA 2281,20260109,800000,404.7,R3
14 LAYCOCK ST CAREY BAY 2283,20260114,875000,613.4,R3
55 CHARTLEY ST WARNERS BAY 2282,20260115,1280000,772.7,R2
32 YORSTON ST WARNERS BAY 2282,20260115,3900000,1782.0,R3
18 SOUTH ST WINDALE 2306,20260114,550000,872.6,R2
17 WALLSEND RD WEST WALLSEND 2286,20260115,780000,521.5,R2
26 SUMMERHAYES RD WYEE 2259,20260112,1100000,1011.0,R2
22 EUCALYPT CL WANGI WANGI 2267,20260114,900000,645.0,R2
11 KUMMARI RD WANGI WANGI 2267,20260109,850000,777.8,R2
6 ALPHA CL ELEEBANA 2282,20260112,1090000,611.6,R2
24 BUTLER CRES WARNERS BAY 2282,20260113,950000,613.4,R2
6 MURRAY ST JEWELLS 2280,20260115,970000,784.1,R2
76 NORTHLAKES DR CAMERON PARK 2285,20260115,840000,706.6,R2
48 BLACKWOOD CCT CAMERON PARK 2285,20260113,950000,540.2,R2
288 A FREEMANS DR COORANBONG 2265,20260115,1187000,1099.0,R2
24 BELUGA DR CAMERON PARK 2285,20260112,1520000,688.5,R2
7 HOPKINS ST SPEERS POINT 2284,20260114,1750000,1188.0,R2
27 TRINITY POINT DR MORISSET PARK 2264,20260115,1280000,600.0,R2
74 CUDMORE CRES WYEE 2259,20260109,1100000,520.0,R2
13 VICTORIA ST BONNELLS BAY 2264,20251208,1698000,1407.0,R2
177 TRINITY POINT DR MORISSET PARK 2264,20260113,1725000,599.3,R2
27 WOODBURY CCT CATHERINE HILL BAY 2281,20260115,780000,782.3,R2
20 PEPPERTREE CCT ABERGLASSLYN 2320,20260109,825000,799.9,R1
36 LAURIE DR RAWORTH 2321,20260112,896500,627.6,R1
83 FLINDERS ST EAST MAITLAND 2323,20260115,825000,389.2,R1
36 MORECAMBE CCT THORNTON 2322,20260109,890000,623.4,R1
