address,settlement_date,price,area,zone
16 HEATH ST ASQUITH 2077,20260114,1860000,708.2,R2
46 LAURENCE ST PENNANT HILLS 2120,20260114,1800000,690.0,R2
1 WINDARRA CRES WAHROONGA 2076,20260114,2170000,739.8,R2
43 MANOR RD HORNSBY 2077,20260114,1550000,2681.0,R2
46 A MANOR RD HORNSBY 2077,20260112,1350000,1979.0,R2
31 JUBILEE ST WAHROONGA 2076,20260115,2300000,1176.0,R2
34 VALLEY RD HORNSBY 2077,20260112,1802000,819.7,R2
7 GREENVALE GR HORNSBY 2077,20251215,2000000,954.8,R2
6 MARGUERITE CRES WEST PENNANT HILLS 2125,20260113,2500000,752.5,R2
29 FOXGLOVE RD MOUNT COLAH 2079,20260113,1800000,700.1,R2
2 KAROO CRES HORNSBY HEIGHTS 2077,20260113,2130000,992.7,R2
5 KEDRON AVE BEECROFT 2119,20260113,3600000,1087.0,R2
130 SHERBROOK RD ASQUITH 2077,20260114,1700000,695.6,R2
17 NICHOLSON AVE THORNLEIGH 2120,20260115,1540000,1416.0,R2
149 A BOUNDARY RD NORTH EPPING 2121,20260109,2728888,512.1,R2
3 JOHN ST HUNTERS HILL 2110,20260109,4718000,1226.0,R2
48 COWAN RD ST IVES 2075,20250827,67250000,1481.0,R3
50 COWAN RD ST IVES 2075,20250827,67250000,2069.0,R3
73 GRIFFITH AVE ROSEVILLE CHASE 2069,20260115,3465000,897.9,R2
10 BURNS RD WAHROONGA 2076,20260115,5680000,1499.0,R2
40 ELVA AVE KILLARA 2071,20260114,6600000,859.4,R2
5 ELVA AVE KILLARA 2071,20260109,5000000,1063.0,R2
4 ESK ST NORTH WAHROONGA 2076,20260112,2900000,1188.0,R2
2 MONA ST WAHROONGA 2076,20260114,6260000,904.2,R2
28 WAUGOOLA ST GORDON 2072,20260114,2200000,765.1,R2
99 WELLINGTON RD EAST LINDFIELD 2070,20260112,1750000,1037.0,R2
10 ALLAN ST ROSEVILLE CHASE 2069,20260109,4280000,761.0,R2
46 ETON RD LINDFIELD 2070,20260109,4560000,836.2,R2
6 ARDEN RD PYMBLE 2073,20260115,1960000,711.4,R2
6 CROSS ST PYMBLE 2073,20260114,2600000,836.2,R2
1 A POLDING RD LINDFIELD 2070,20260113,2700000,1473.0,R2
97 SPENCER RD KILLARA 2071,20260114,4260000,784.4,R2
143 KISSING POINT RD TURRAMURRA 2074,20260112,3000000,1347.0,R2
6 MONTREAL AVE KILLARA 2071,20260109,3555000,766.4,R2
118 TRYON RD EAST LINDFIELD 2070,20260112,2900888,961.1,R2
40 WOODLANDS RD EAST LINDFIELD 2070,20260112,5005000,975.5,R2
2 YALLEROI AVE WEST PYMBLE 2073,20260114,3701000,845.5,R2
5 ST ANDREWS DR PYMBLE 2073,20260114,3550000,1237.0,R2
24 BANCROFT AVE ROSEVILLE 2069,20260115,7700000,1397.0,R2
13 WARATAH RD TURRAMURRA 2074,20260112,2550000,891.6,R2
5 BAREENA AVE WAHROONGA 2076,20260112,4150000,921.78,R2
9 BRENTWOOD AVE TURRAMURRA 2074,20260109,4750000,847.3,R2
8 KU-RING-GAI AVE TURRAMURRA 2074,20260115,3500000,1005.0,R2
14 NULLA NULLA ST TURRAMURRA 2074,20260114,5120000,1562.0,R2
58 WARRIMOO AVE ST IVES 2075,20260112,2320000,1123.0,R2
5 CLEVELAND ST WAHROONGA 2076,20260109,8350000,2106.0,R2
35 A CLISSOLD RD WAHROONGA 2076,20260113,3000000,934.4,R2
14 KALLISTA AVE ST IVES 2075,20260113,3990000,923.2,R2
46 EASTGATE AVE EAST KILLARA 2071,20260115,3250000,834.7,R2
51 GREENGATE RD KILLARA 2071,20260115,9150000,1935.3,R2
3 WARWICK PL WAHROONGA 2076,20260113,2460000,936.2,R2
24 BENAROON AVE ST IVES 2075,20260112,3688000,778.3,R2
18 A BUNGALOW AVE PYMBLE 2073,20260112,2500000,550.8,R2
11 C KNOWLMAN AVE PYMBLE 2073,20260113,3500000,777.5,R2
46 COWAN RD ST IVES 2075,20250827,67250000,2353.0,R3
30 KALLAROO RD RIVERVIEW 2066,20260114,4390000,1994.7,R2
11 KINGSLANGLEY RD GREENWICH 2065,20260112,5900000,836.2,R2
17 KING WILLIAM ST GREENWICH 2065,20260114,4360000,575.4,R2
12 SURADA AVE RIVERVIEW 2066,20260114,5500000,736.9,R2
69 TAMBOURINE BAY RD RIVERVIEW 2066,20260109,5850000,559.1,R2
212 BURNS BAY RD LANE COVE 2066,20251212,2835000,708.2,R2
9 ALDER AVE LANE COVE WEST 2066,20260114,4215000,562.8,R2
18 MITCHELL ST GREENWICH 2065,20260115,13850000,632.3,R2
28 RUBY ST MOSMAN 2088,20260113,38000000,1792.3,R2
103 SHADFORTH ST MOSMAN 2088,20260112,2720000,252.9,R3
33 BOND ST MOSMAN 2088,20260115,2210000,215.0,R3
7 ARKLAND ST CAMMERAY 2062,20260114,4350000,427.26,R2
46 CAIRO ST CAMMERAY 2062,20260114,5100000,330.8,R2
120 BENELONG RD CREMORNE 2090,20260113,4600000,371.55,R4
28 BARRY ST NEUTRAL BAY 2089,20260114,6770000,529.59,R3
37 NEUTRAL ST NORTH SYDNEY 2060,20260115,2200000,120.6,R2
78 PARRAWEEN ST CREMORNE 2090,20260114,3050000,227.6,R4
38 PATRICIA ST MARSFIELD 2122,20260115,2850000,392.3,R2
58 A BOWDEN ST RYDE 2112,20260112,2080000,434.5,R2
35 MARSDEN RD WEST RYDE 2114,20260114,2100000,948.5,R2
11 BENSON ST WEST RYDE 2114,20260112,3500000,1195.0,R2
4 BERGIN ST DENISTONE WEST 2114,20260113,2439000,670.3,R2
56 BESWICK AVE NORTH RYDE 2113,20260115,3330000,600.7,R2
13 RUSSELL ST DENISTONE EAST 2112,20260112,2260000,475.0,R2
14 BYRON AVE RYDE 2112,20260112,2060000,575.4,R2
18 HENRY ST RYDE 2112,20260115,2960000,670.3,R2
27 TARRANTS AVE EASTWOOD 2122,20260115,3116000,670.2,R2
14 PUNT RD GLADESVILLE 2111,20251222,2550000,733.5,R2
264 QUARRY RD RYDE 2112,20260114,3700000,1884.0,R2
5 HORDERN AVE PUTNEY 2112,20260112,3775000,916.9,R2
24 HUXLEY ST WEST RYDE 2114,20260113,2728000,757.12,R2
5 OLIVIERI PL RYDE 2112,20260113,3235000,729.5,R2
21 WESTERN CRES GLADESVILLE 2111,20260114,2950000,645.0,R2
9 WOLFE RD EAST RYDE 2113,20260109,5335000,860.0,R2
108 B WICKS RD NORTH RYDE 2113,20260115,2290000,372.6,R2
41 TALLWOOD AVE EASTWOOD 2122,20260112,2600888,329.8,R2
23 NERIDAH ST CHATSWOOD 2067,20260112,5728000,781.9,R2
10 CAMERON AVE ARTARMON 2064,20260112,3600000,632.3,R2
6 BEACONSFIELD RD CHATSWOOD 2067,20260115,6100000,2382.68,R2
113 EDINBURGH RD CASTLECRAG 2068,20260115,5000000,562.8,R2
8 COBAR ST WILLOUGHBY 2068,20260112,4620000,696.77,R2
603 MOWBRAY RD W LANE COVE NORTH 2066,20260115,3615000,696.77,R2
181 SAILORS BAY RD NORTHBRIDGE 2063,20251215,2775000,325.1,R3
179 SAILORS BAY RD NORTHBRIDGE 2063,20251215,2775000,325.1,R3
95 LAUREL ST NORTH WILLOUGHBY 2068,20260112,3520000,480.6,R2
5 NAMOI RD NORTHBRIDGE 2063,20260115,3700000,324.7,R2
9 NARANI CRES NORTHBRIDGE 2063,20260113,5300000,657.6,R2
9 SHARLAND AVE CHATSWOOD 2067,20260112,3350000,954.8,R2
53 STAFFORD RD ARTARMON 2064,20260112,5800000,670.3,R2
7 STEPHEN ST WILLOUGHBY 2068,20260115,4250000,607.0,R2
10 ONYX RD ARTARMON 2064,20260112,3310000,471.4,R2
1 B OBSERVATION AVE BATEHAVEN 2536,20260112,1900000,513.7,R2
29 BAGARIN AVE TOMAKIN 2537,20260114,1400000,589.3,R2
17 A BURRAWANG CRES SUNSHINE BAY 2536,20250905,860000,711.8,R2
24 FOREST PDE TOMAKIN 2537,20260114,845000,562.8,R2
26 BEACH RD BATEMANS BAY 2536,20260114,1800000,638.6,R3
47 KAROOLA CRES SURFSIDE 2536,20260115,855000,868.8,R2
12 JOHNSON PL SURF BEACH 2536,20260112,680000,596.9,R2
23 SANDPIPER PL CATALINA 2536,20260112,710000,805.7,R2
7 ILUKA AVE MALUA BAY 2536,20260115,910000,765.1,R2
17 PLEASURELEA DR SUNSHINE BAY 2536,20260109,545000,657.2,R2
22 MOORONG CRES MALUA BAY 2536,20260115,1750000,556.4,R2
1 BIRROUL PL DALMENY 2546,20260112,758000,1110.0,R2
15 HARBOUR DR BROULEE 2537,20260114,3200000,1033.0,R2
51 TATIARA ST DALMENY 2546,20260114,899000,556.4,R2
7 BEACHVIEW CL NORTH NAROOMA 2546,20260112,1255000,993.1,R2
20 DAWN PDE KIANGA 2546,20260114,1345000,1140.0,R2
17 YARRALUMLA CRES TOMAKIN 2537,20260114,320050,550.1,R2
15 PRICE AVE KIAMA 2533,20260112,1630000,600.0,R2
3 DUGUID WAY KIAMA DOWNS 2533,20260114,1055000,650.2,R2
64 BONG BONG ST KIAMA 2533,20260115,3650000,3074.0,R2
5 A PIKE PL KIAMA 2533,20260114,990000,310.0,R2
10 MORTLOCK DR ALBION PARK 2527,20260112,935000,550.7,R2
29 HINCHINBROOK DR SHELL COVE 2529,20260114,1695000,619.8,R2
15 WERRANG ST ALBION PARK RAIL 2527,20260112,870000,274.7,R3
4 A SHORTHORN RD TULLIMBAR 2527,20260109,910000,0.0,R2
4 KILLALEA DR SHELL COVE 2529,20260115,1180000,574.9,R2
2 EASTERN AVE SHELLHARBOUR 2529,20260115,2400000,695.6,R2
58 MARY ST SHELLHARBOUR 2529,20260115,1350000,663.9,R2
29 MATTHEWS DR MOUNT WARRIGAL 2528,20260115,990000,689.2,R2
52 BRIGADOON CCT OAK FLATS 2529,20260109,880000,556.4,R2
179 LANDY DR MOUNT WARRIGAL 2528,20260115,1220000,588.1,R2
30 ANNE ST WARILLA 2528,20260115,1060000,600.7,R3
37 SCARBOROUGH CCT ALBION PARK 2527,20260112,1090000,853.0,R2
44 SHELL COVE RD BARRACK POINT 2528,20260115,3900000,986.4,R2
22 PHILLIP CRES BARRACK HEIGHTS 2528,20260115,1200000,695.6,R2
66 STRATA AVE BARRACK HEIGHTS 2528,20260114,1010000,701.9,R2
33 WOODFORD AVE WARILLA 2528,20260113,1120000,499.5,R3
44 ARALUEN TCE TULLIMBAR 2527,20260114,815000,262.6,R2
14 GUGARA ST CALDERWOOD 2527,20260115,923000,300.0,R1
86 WENTWORTH ST OAK FLATS 2529,20260115,875000,246.6,R2
14 CORDEAUX PDE TULLIMBAR 2527,20260114,850000,300.0,R2
14 SKIFF PL SHELL COVE 2529,20260113,1104000,296.3,R2
12 A MIA WAY CULBURRA BEACH 2540,20260114,1585000,603.0,R2
2 NILBAR CL BOMADERRY 2541,20260115,940000,504.5,R1
102 GREENBANK GR CULBURRA BEACH 2540,20260112,877500,505.8,R2
2 CENTRE ST CALLALA BEACH 2540,20260113,1510000,634.4,R2
27 A PATRINA CCT ST GEORGES BASIN 2540,20260112,852000,252.0,R1
1 A BENDOURA ST MOLLYMOOK 2539,20260115,1150000,548.6,R1
54 WIRRAWAY BVD BADAGARANG 2540,20260115,349000,304.9,R1
20 CHRISTIANSEN AVE OLD EROWAL BAY 2540,20260115,900000,1752.0,R2
10 BERRY ST VINCENTIA 2540,20260115,1650000,727.2,R2
27 DOUGLAS ST NOWRA 2541,20260114,810000,809.4,R1
2 PALM LILLY CL WORRIGEE 2540,20260115,705000,398.2,R2
6 ANKER AVE MOLLYMOOK BEACH 2539,20260115,1400000,1081.0,R2
52 CROOBYAR RD MILTON 2538,20260115,1735000,1103.98,R2
17 CROOKHAVEN DR GREENWELL POINT 2540,20260115,1150000,565.4,R2
12 CHESTNUT AVE BOMADERRY 2541,20260115,985000,1032.0,R2
76 VILLAGE DR ULLADULLA 2539,20260115,730000,648.0,R2
