address,settlement_date,price,area,zone
297 POPONDETTA RD BIDWILL 2770,20260115,880000,556.4,R2
47 SOUTHEE CCT OAKHURST 2761,20260109,1080000,495.0,R2
65 POTTERY CCT WOODCROFT 2767,20260114,1155000,552.6,R2
22 PEMBROKE ST BLACKTOWN 2148,20260113,965000,556.4,R2
22 RUPERTSWOOD RD ROOTY HILL 2766,20260114,1336500,450.1,R2
20 STANLEY ST BLACKTOWN 2148,20260109,1280888,651.3,R2
15 TALLAGANDRA DR QUAKERS HILL 2763,20260115,1285000,550.9,R2
39 SHAUN ST GLENWOOD 2768,20260113,1790000,469.2,R2
22 ZERMATT AVE SEVEN HILLS 2147,20260115,124500,556.4,R2
10 VALETTA CT BLACKTOWN 2148,20260115,1235000,550.6,R2
44 THE CRESCENT MARAYONG 2148,20260109,1406000,556.4,R2
3 WOLLATON GR OAKHURST 2761,20260112,1130000,450.0,R2
57 TORRANCE CRES QUAKERS HILL 2763,20260115,1500000,613.6,R2
6 WABBA ST MARAYONG 2148,20260114,1155000,557.5,R2
4 FAIRWAY ST PARKLEA 2768,20260114,1500000,353.1,R2
67 BURNSIDE ST KELLYVILLE RIDGE 2155,20260114,1110000,215.1,R2
8 ANDRE PL BLACKTOWN 2148,20260115,1525000,450.2,R2
10 CANDILLA ST KELLYVILLE RIDGE 2155,20260114,2025500,541.0,R2
48 BIRDIE CCT BLACKTOWN 2148,20260114,1132500,169.0,R1
1 BROADFOOT AVE MARSDEN PARK 2765,20260115,1180000,251.3,R2
56 WINDEYER ST ROUSE HILL 2155,20260114,1332000,252.1,R2
44 NABTHORPE PDE SCHOFIELDS 2762,20260112,1315000,275.0,R2
34 FLAMETREE DR MELONBA 2765,20260114,1350000,290.5,R2
37 STELLARIA ST MARSDEN PARK 2765,20260115,1051000,300.0,R2
60 CAPRICORN RD KINGS LANGLEY 2147,20260112,1355000,307.8,R2
5 HORIZON ST RIVERSTONE 2765,20260114,1510000,478.5,R2
137 RIVERBANK DR THE PONDS 2769,20260114,1675000,391.5,R2
65 SUMMERLAND CRES COLEBEE 2761,20260115,1300000,363.7,R3
31 LILBURN ST TALLAWONG 2762,20260112,1692000,419.6,R2
18 SANDRA ST GRANTHAM FARM 2765,20260112,1490000,473.8,R2
25 GLOBE ST RIVERSTONE 2765,20260115,1240000,321.5,R2
31 JENNINGS ST MARSDEN PARK 2765,20260115,1210000,270.2,R2
32 KENSINGTON PARK RD SCHOFIELDS 2762,20260115,1230000,250.0,R2
46 WITCHINGHAM ST MARSDEN PARK 2765,20260113,1144888,324.0,R2
40 TWILIGHT CRES BLACKTOWN 2148,20260109,1030000,187.3,R1
68 ARNCLIFFE AVE MELONBA 2765,20260115,1220000,250.0,R2
77 CORNUS CRES THE PONDS 2769,20260114,1350000,250.0,R2
29 SALIX CRES MARSDEN PARK 2765,20260112,1050000,265.7,R2
37 RAKALI PDE MELONBA 2765,20260114,1600000,342.5,R2
36 SANDALWOOD CRES COLEBEE 2761,20260112,1215000,308.2,R2
7 BOLAND AVE SPRINGWOOD 2777,20260113,980000,682.9,R2
48 SPRINGFIELD CRES SPRINGWOOD 2777,20260113,130000,696.77,R2
2 CLARENCE ST KATOOMBA 2780,20260114,1250000,631.7,R2
22 MOUNT ST GLENBROOK 2773,20260112,1670000,1115.0,R2
75 BARTON ST KATOOMBA 2780,20260115,800000,695.6,R2
4 MATHEWS RD MOUNT VICTORIA 2786,20260114,895000,885.2,R2
12 BORONIA CRES WINMALEE 2777,20260113,920000,765.1,R2
15 MOUNTBATTEN ST BLACKHEATH 2785,20260113,890099,695.6,R2
424 HAWKESBURY RD WINMALEE 2777,20260113,765000,1289.8,R2
43 HICKSON CCT HARRINGTON PARK 2567,20260112,1565000,512.0,R2
2 AOTUS CCT MOUNT ANNAN 2567,20260112,1281000,653.7,R2
48 PRICE RDGE LEPPINGTON 2179,20260114,1211000,376.5,R2
8 SERENITY CCT GLEDSWOOD HILLS 2557,20260115,2620000,800.0,R2
6 A RIXON ST ORAN PARK 2570,20260114,1295000,301.5,R1
31 JOEY CRES DENHAM COURT 2565,20260115,1665000,450.0,R2
16 STONEHAM CCT ORAN PARK 2570,20260115,1390000,450.0,R2
33 BANDARA CCT SPRING FARM 2570,20260114,950000,264.0,R1
26 WATERVALE AVE CATHERINE FIELD 2557,20260109,1085000,301.5,R2
167 SPRINGS RD SPRING FARM 2570,20260114,1165000,422.8,R1
11 COHEN ST GLEDSWOOD HILLS 2557,20260115,955000,454.8,R1
2 SANDS ST SPRING FARM 2570,20260114,1215000,464.1,R1
10 SUMMIT PL LEPPINGTON 2179,20260115,700000,354.3,R2
17 CUNNINGHAM PL CAMDEN SOUTH 2570,20260115,990000,967.5,R2
5 MCCRAE DR CAMDEN SOUTH 2570,20260112,952000,556.4,R2
8 MORAN PL CURRANS HILL 2567,20260115,1087000,530.6,R2
64 MOUNT ANNAN DR MOUNT ANNAN 2567,20260115,1275000,1044.0,R2
7 WHEELER AVE CAMDEN SOUTH 2570,20260115,1510000,834.7,R2
22 FORREST CRES CAMDEN 2570,20260112,1170000,575.4,R2
4 CAMERON CCT HARRINGTON PARK 2567,20260113,2300000,1180.0,R2
30 DISCOVERY CCT GREGORY HILLS 2557,20260115,1700000,701.7,R1
9 TUKIDALE CL ELDERSLIE 2570,20260112,1000000,619.4,R2
31 KENSINGTON DR HARRINGTON PARK 2567,20260112,1161500,480.0,R3
6 LOCHVIEW CRES MOUNT ANNAN 2567,20260112,1310000,476.0,R2
18 TONKIN WAY ORAN PARK 2570,20260115,1292000,309.0,R2
13 WALKER ST ORAN PARK 2570,20260115,1280000,420.0,R1
24 KINLOCH ST GLEDSWOOD HILLS 2557,20260114,1455000,521.0,R1
48 STEWARD DR ORAN PARK 2570,20260112,1140000,375.0,R1
66 THE STRAIGHT ORAN PARK 2570,20260115,1560000,581.4,R1
23 HOLDSWORTH ST ORAN PARK 2570,20260114,1310000,450.0,R1
45 REVELL ST ORAN PARK 2570,20260109,985000,204.2,R1
17 BUFFALO RD ORAN PARK 2570,20260112,995000,300.0,R1
74 KIPPAX AVE LEUMEAH 2560,20260115,850000,188.7,R2
4 LONG TAN ST BARDIA 2565,20260113,1255000,235.2,R1
12 MULHOLLAND AVE CAMPBELLTOWN 2560,20260115,1290000,400.1,R3
21 HONEYMYRTLE AVE DENHAM COURT 2565,20260109,1310000,250.0,R2
14 AMBROSE AVE GILEAD 2560,20260115,1220000,480.0,R2
6 SEBRING ST MENANGLE PARK 2563,20260115,1415000,380.8,R2
26 A GLENDOWER ST ROSEMEADOW 2560,20260114,820000,409.3,R2
40 EVERGREEN AVE BRADBURY 2560,20260115,875000,556.4,R2
27 GOODSELL ST MINTO 2566,20260112,2430000,4542.0,R2
57 CHASSELAS AVE ESCHOL PARK 2558,20260112,1160000,580.5,R2
26 CROMMELIN CRES ST HELENS PARK 2560,20260114,930000,530.0,R2
29 CRONULLA CRES WOODBINE 2560,20260115,800000,783.8,R2
