address,settlement_date,price,area,zone
19 THOMAS ST MITTAGONG 2575,20260115,1350000,1012.0,R2
37 RETFORD RD BOWRAL 2576,20260115,1050000,613.0,R2
3 THWAITES DR MOSS VALE 2577,20260113,1190000,1115.0,R2
6 HAMPTON CT MOSS VALE 2577,20260115,1400000,4000.0,R5
11 LILAC AVE BOWRAL 2576,20260114,1470000,800.0,R2
24 OLD HUME HWY BRAEMAR 2575,20260114,1250000,1656.0,R2
7 MARCHMONT DR MITTAGONG 2575,20260114,2950000,4000.0,R5
7 HAZELTON DR MOSS VALE 2577,20260115,1980000,4454.0,R5
40 MACKELLAR CCT RENWICK 2575,20260115,1250000,611.8,R2
2 BARTHOLOMEW WAY BRAEMAR 2575,20260115,1125000,640.7,R2
39 RED GUM DR BRAEMAR 2575,20260115,940000,466.2,R2
512 LAWRENCE HARGRAVE DR WOMBARRA 2515,20260114,2400000,1032.0,R2
16 GLEESON CRES BELLAMBI 2518,20260112,1120000,638.6,R2
46 HURT PDE UNANDERRA 2526,20260115,870000,771.4,R2
104 LAKESIDE DR KOONAWARRA 2530,20260113,840000,720.9,R2
33 KATHLEEN CRES WOONONA 2517,20260113,1412500,575.4,R2
34 IMMARNA AVE WEST WOLLONGONG 2500,20260115,1335000,600.7,R2
56 IOLA AVE FARMBOROUGH HEIGHTS 2526,20260115,1100000,556.4,R2
22 GREGORY ST CRINGILA 2502,20260115,780000,872.6,R2
4 GUNDARUN ST WEST WOLLONGONG 2500,20260115,1100000,695.6,R2
6 GUNDARUN ST WEST WOLLONGONG 2500,20260115,1100000,695.6,R2
25 HILLTOP AVE WOLLONGONG 2500,20260115,1280000,689.2,R2
36 LONGVIEW CRES STANWELL TOPS 2508,20260109,1875000,822.0,R2
22 HOBART ST BULLI 2516,20260112,1550000,695.6,R2
22 THURSTON CRES CORRIMAL 2518,20260112,1245000,569.1,R2
31 MYEE ST KANAHOOKA 2530,20260115,800000,678.4,R2
32 SORENSEN DR FIGTREE 2525,20260114,1183000,665.0,R2
