address,settlement_date,price,area,zone
2 GREAVES ST MAYFIELD EAST 2304,20260109,870000,271.9,R2
12 GREGSON AVE MAYFIELD WEST 2304,20260113,980000,693.0,R2
1 JIRRA WAY MARYLAND 2287,20260112,924500,674.0,R2
55 HOLT ST MAYFIELD EAST 2304,20260113,1220000,436.3,R2
35 HANBURY ST MAYFIELD 2304,20260112,822000,290.9,R4
26 LIBYA ST SHORTLAND 2307,20260113,695000,600.7,R2
16 LIGHT ST BAR BEACH 2300,20260109,3610000,670.3,R3
5 MONMOUTH ST STOCKTON 2295,20260112,1850000,556.1,R2
215 MORGAN ST MEREWETHER 2291,20260114,1561500,556.4,R2
7 KNIGHT ST NEW LAMBTON 2305,20260112,1410000,467.9,R2
16 NARANGHI CCT MARYLAND 2287,20260115,720000,500.6,R2
33 MAGIN CRES WALLSEND 2287,20260114,870000,581.7,R2
56 ST JAMES RD NEW LAMBTON 2305,20260112,350000,490.4,R2
334 NEWCASTLE RD NORTH LAMBTON 2299,20260114,742000,322.5,R2
13 SARINA ST MARYLAND 2287,20260114,900000,523.8,R2
42 NILE ST MAYFIELD 2304,20260115,1100000,303.5,R2
9 SCOTT ST CARRINGTON 2294,20260114,950000,164.4,R2
3 NOLAN PL LAMBTON 2299,20260114,1150000,476.9,R2
1 SANDGATE RD WALLSEND 2287,20260114,872500,518.0,R2
31 SEATON ST MARYLAND 2287,20260113,847500,540.0,R2
63 RODGERS ST CARRINGTON 2294,20260114,915000,151.8,R2
24 SHELLEY ST GEORGETOWN 2298,20260115,1600000,411.0,R2
24 BOUNDARY RD MARYLAND 2287,20260115,998000,715.6,R2
4 SPENCER ST RANKIN PARK 2287,20260112,865000,448.9,R2
173 RUSSELL RD NEW LAMBTON 2305,20260114,2610000,916.9,R2
2 A TURNER ST LAMBTON 2299,20260115,1300000,461.6,R2
32 WILLIAM ST JESMOND 2299,20260115,750000,448.9,R2
55 THOMAS ST WALLSEND 2287,20260115,785000,464.2,R2
15 WALLACE ST KOTARA 2289,20260115,855500,581.7,R2
146 YOUNG RD LAMBTON 2299,20260115,1215000,550.1,R2
51 ORCHARDTOWN RD NEW LAMBTON 2305,20260114,1580000,225.3,R2
14 CITRUS DR KARUAH 2324,20260112,355000,500.0,R2
14 BLANCH ST LEMON TREE PASSAGE 2319,20260112,635000,453.6,R2
1 MOOROOBA CRES NELSON BAY 2315,20260114,795000,351.4,R3
6 THE MAINSAIL BOAT HARBOUR 2316,20260115,4000000,693.5,R2
31 BOURKE ST RAYMOND TERRACE 2324,20260113,770000,581.7,R3
101 STOCKTON ST NELSON BAY 2315,20260109,980000,796.7,R2
60 DEAN PDE LEMON TREE PASSAGE 2319,20260115,942000,701.9,R2
46 BOULDER BAY RD FINGAL BAY 2315,20260112,1330000,681.3,R2
4 MARTY AVE SALAMANDER BAY 2317,20260112,946000,556.4,R2
12 LUDERICK CL CORLETTE 2315,20260115,1155000,324.7,R2
5 SNOWGUM RD KARUAH 2324,20260112,770000,583.2,R2
11 EBBTIDE WAY CORLETTE 2315,20260112,1535000,739.2,R2
43 B HENNING RD RAYMOND TERRACE 2324,20260112,765000,325.0,R2
144 A CASEY DR HUNTERVIEW 2330,20260114,600000,542.5,R1
6 HARROWBY ST BROKE 2330,20260114,1100000,9180.0,R5
2 FALKINER CRES SINGLETON HEIGHTS 2330,20260115,702000,667.2,R1
15 HEATHER PL SINGLETON HEIGHTS 2330,20260109,860000,792.8,R1
18 SUTTON GR BRANXTON 2335,20260112,1430000,9474.0,R5
38 GARDEN CIR BERRAMBOOL 2548,20260112,900000,882.1,R3
17 CASEY JAYNE CT TURA BEACH 2548,20260115,540000,702.9,R3
22 MONARO ST MERIMBULA 2548,20260115,1235000,443.2,R3
108 BEGA ST TATHRA 2550,20260114,790000,733.5,R2
18 BARTLETT AVE COWRA 2794,20260114,493000,531.2,R1
37 DAWSON DR COWRA 2794,20260112,705000,4047.0,R5
14 YARRAWONGA CRES COWRA 2794,20260115,620000,1201.0,R1
14 GOWER HARDY CCT COWRA 2794,20260114,890000,6201.0,R5
17 HANNA ST COWRA 2794,20260114,545000,925.7,R1
6 HANNA ST COWRA 2794,20260114,530000,896.6,R1
82 CALARE ST COWRA 2794,20260115,720000,4126.0,R5
77 EGRET WAY THURGOONA 2640,20260109,701000,452.9,R1
23 NOTTINGHAM RD THURGOONA 2640,20260113,715000,609.0,R1
26 DROVER PL THURGOONA 2640,20260109,765000,776.7,R1
32 ELLERSTON AVE GLENROY 2640,20260115,220000,596.0,R1
707 YAMBLA AVE ALBURY 2640,20260113,1100000,708.2,R1
382 DAVID ST SOUTH ALBURY 2640,20260115,700000,674.62,R1
247 CADELL ST EAST ALBURY 2640,20260112,610000,765.1,R1
677 CENTAUR RD LAVINGTON 2641,20260112,627000,868.0,R1
402 DALE CRES LAVINGTON 2641,20260114,615000,663.9,R1
14 DARRAMBAL DR SPRINGDALE HEIGHTS 2641,20260115,560000,772.6,R1
437 ROMANI DR LAVINGTON 2641,20260114,618500,741.4,R1
2 KINGSTON RD THURGOONA 2640,20260114,700000,1129.0,R1
328 HAINES CT LAVINGTON 2641,20260115,580000,671.2,R1
483 DONALD CT LAVINGTON 2641,20260114,700500,1223.0,R1
311 PARKLAND CRES LAVINGTON 2641,20260112,671500,791.3,R1
368 EDEN ST LAVINGTON 2641,20260113,660000,771.4,R1
27 HURWORTH CT WEST ALBURY 2640,20260114,722000,790.6,R1
633 ELM ST ALBURY 2640,20260109,732000,696.77,R1
826 MATE ST NORTH ALBURY 2640,20260109,590000,689.2,R1
384 PERCY ST EAST ALBURY 2640,20260114,897800,670.3,R1
336 FALLON ST NORTH ALBURY 2640,20260115,555000,619.7,R1
307 KAITLERS RD LAVINGTON 2641,20260112,621500,738.0,R1
