address,settlement_date,price,area,zone
70 LORRAINE AVE BARDWELL VALLEY 2207,20260115,1665000,354.1,R2
13 LYDHAM AVE ROCKDALE 2216,20260109,2050000,455.3,R2
375 BEXLEY RD BEXLEY 2207,20260112,1515000,404.7,R2
89 ABERCORN ST BEXLEY 2207,20260112,1635000,488.58,R2
59 PREDDYS RD BEXLEY 2207,20260115,2650000,501.55,R3
77 BARTON ST MONTEREY 2217,20260112,1920000,371.99,R2
7 SLADE RD BARDWELL PARK 2207,20260112,1712000,423.7,R2
7 TERALBA RD BRIGHTON-LE-SANDS 2216,20260115,1640000,271.9,R2
9 BEGONIA ST PAGEWOOD 2035,20260113,2350000,467.91,R2
2 DOVER RD BOTANY 2019,20260112,1551500,221.3,R2
61 VERNON AVE EASTLAKES 2018,20260115,2300000,445.9,R2
193 A KINGSLAND RD N BEXLEY NORTH 2207,20260114,1767000,651.8,R2
10 LEE AVE QUIRINDI 2343,20260114,520000,980.1,R1
274 MEADE ST GLEN INNES 2370,20260114,425000,860.0,R1
153 CHURCH ST GLEN INNES 2370,20260113,365000,998.4,R1
5 CLARKE ST GLEN INNES 2370,20260114,344000,1214.0,R1
15 CRAMSIE CRES GLEN INNES 2370,20260115,680000,932.0,R1
2 A ROBINSON AVE GLEN INNES 2370,20260113,310000,770.0,R1
223 YAMBA RD YAMBA 2464,20260114,560000,510.9,R2
9 PARDALOTE PL GULMARRAD 2463,20260114,1175000,4000.0,R5
8 HENSON LANE YAMBA 2464,20260114,1700000,514.3,R3
114 MELALEUCA DR YAMBA 2464,20260115,722000,703.1,R2
11 CROWN ST GRAFTON 2460,20260113,745000,879.7,R1
94 KOHLER DR YAMBA 2464,20260113,410000,450.0,R1
16 BUSHY ST YAMBA 2464,20260113,960000,560.7,R1
32 EDINBURGH DR TOWNSEND 2463,20260114,830000,768.1,R2
95 CHARLES ST ILUKA 2466,20260115,900000,506.8,R3
136 MACQUEEN ST ABERDEEN 2336,20260114,605000,1252.0,R1
117 BARTON ST SCONE 2337,20260109,644000,685.6,R1
23 EVELEIGH CT SCONE 2337,20260115,520000,651.5,R1
175 LIVERPOOL ST SCONE 2337,20260115,550000,619.7,R1
15 SOMERSET PL SCONE 2337,20260109,675000,2000.0,R5
16 NORTH ST CROOKWELL 2583,20260112,683000,951.0,R2
131 B ROSSI ST YASS 2582,20260113,925000,4000.0,R2
34 COBHAM ST YASS 2582,20260109,780000,916.9,R1
43 SHAW ST YASS 2582,20260109,675000,1783.0,R1
5 SETTLERS CT YASS 2582,20260114,500000,1027.0,R1
18 BALLANYA AVE GOULBURN 2580,20260115,747000,981.7,R2
2 EAST ST GOULBURN 2580,20260113,780000,1166.0,R2
5 KENMORE ST GOULBURN 2580,20260109,692000,531.2,R1
159 KINGHORNE ST GOULBURN 2580,20260113,550000,695.6,R1
35 VICTORIA ST GOULBURN 2580,20260114,840000,467.9,R1
58 MAY ST GOULBURN 2580,20260115,665000,844.5,R2
3 PROGRESS ST GOULBURN 2580,20260113,705000,579.8,R2
8 BRAYTON RD MARULAN 2579,20260114,665000,733.5,R1
1 CRESWICK PL MARULAN 2579,20260115,605000,783.6,R1
31 COWPER ST GOULBURN 2580,20260112,757500,673.8,R1
7 WATERLILY FAWY GOULBURN 2580,20260115,1300000,2021.0,R5
5 GRIMSTON CCT GOULBURN 2580,20260112,880000,560.0,R1
59 A MONTAGUE ST GOULBURN 2580,20260112,779000,326.2,R1
49 SANCTUARY DR GOULBURN 2580,20260109,1150000,2004.0,R5
12 KING ST COONABARABRAN 2357,20260109,370000,885.2,R1
83 BULLINDA ST DUNEDOO 2844,20260112,450000,2023.5,R1
137 ANZAC ST TEMORA 2666,20260115,440000,1764.0,R1
27 JOFFRE ST TEMORA 2666,20260112,532500,1000.0,R1
41 GALING PL WAGGA WAGGA 2650,20260113,640000,395.9,R3
51 ATHERTON CRES TATTON 2650,20260115,1170000,1359.0,R1
3 CARINYA ST GLENFIELD PARK 2650,20260109,555000,402.7,R1
93 BRADMAN DR BOOROOMA 2650,20260109,890000,679.4,R1
