address,settlement_date,price,area,zone
38 LAGUNA PDE BERKELEY VALE 2261,20260112,835000,550.1,R2
36 HOWELSTON RD GOROKAN 2263,20260114,815000,637.7,R2
99 LAKEDGE AVE BERKELEY VALE 2261,20260115,1110000,834.7,R2
20 KAURI CT OURIMBAH 2258,20260115,1230000,616.0,R1
48 KEATS AVE BATEAU BAY 2261,20260115,1505000,556.4,R2
63 KELSEY RD NORAVILLE 2263,20260114,708334,682.9,R2
101 OAKLAND AVE THE ENTRANCE 2261,20260113,850000,872.6,R3
62 OCEAN PDE NORAVILLE 2263,20260112,950000,733.5,R2
25 NOAMUNGA CRES GWANDALAN 2259,20260115,885000,689.2,R2
47 NOAMUNGA CRES GWANDALAN 2259,20260114,1580000,505.9,R2
20 RICHARD AVE MARDI 2259,20260115,940000,557.0,R1
34 RICHARDSON RD SAN REMO 2262,20260115,860000,554.4,R2
78 SHIRLEY ST OURIMBAH 2258,20260114,1245000,692.4,R1
43 RIVEROAK DR MARDI 2259,20260112,1376550,857.3,R1
5 TALOMA ST GOROKAN 2263,20260112,750000,853.6,R1
26 PHILLIP ST SHELLY BEACH 2261,20260115,2250000,575.4,R2
21 PINDARRI AVE BERKELEY VALE 2261,20260115,930000,588.1,R2
11 ST LAWRENCE AVE BLUE HAVEN 2262,20260114,902000,624.6,R1
12 POSSUM ST LAKE MUNMORAH 2259,20260115,890000,556.4,R2
18 VALES RD MANNERING PARK 2259,20260106,769999,455.3,R2
17 VALLEY VIEW RD BATEAU BAY 2261,20260115,1050000,550.1,R2
120 THOMAS MITCHELL RD KILLARNEY VALE 2261,20260114,881000,591.0,R2
15 WOMBAT ST BERKELEY VALE 2261,20260115,800000,556.4,R2
12 TOONA WAY GLENNING VALLEY 2261,20260114,1100000,598.3,R1
182 WOODBURY PARK DR MARDI 2259,20260114,1080000,553.1,R1
22 WOODBURY PARK DR MARDI 2259,20260113,1050000,474.6,R1
95 WALLARAH RD GOROKAN 2263,20260112,755000,505.9,R2
17 WANDEWOI AVE SAN REMO 2262,20260115,802000,562.7,R2
38 WYONG RD KILLARNEY VALE 2261,20260115,860000,550.1,R2
321 TUGGERAWONG RD TUGGERAWONG 2259,20260112,830000,904.2,R2
53 TUGGERAWONG RD WYONGAH 2259,20260113,830000,714.5,R2
38 TWIN LAKES DR LAKE HAVEN 2263,20260114,675000,372.1,R1
456 TUGGERAWONG RD TUGGERAWONG 2259,20260113,925000,449.7,R2
2 HAWKER CL HAMLYN TERRACE 2259,20260115,965000,513.8,R2
21 SETTLEMENT DR WADALBA 2259,20260114,940000,503.1,R2
87 CAROLINE ST EAST GOSFORD 2250,20251222,1900000,955.0,R2
27 B MCLACHLAN AVE LONG JETTY 2261,20260113,1340000,348.4,R1
28 ALBERT ST WAGSTAFFE 2257,20260114,2013000,651.3,R2
20 ALISON RD SPRINGFIELD 2250,20260114,800000,486.9,R2
36 CHARLES KAY DR TERRIGAL 2260,20260112,1510000,645.0,R2
14 BOTTLEBRUSH CL WYOMING 2250,20260109,480000,625.0,R2
25 A BOURBON ST WYOMING 2250,20260114,924500,882.7,R2
11 CABARITA ST WAMBERAL 2260,20260114,1720000,505.9,R2
25 BERITH ST UMINA BEACH 2257,20260114,2100000,467.9,R1
46 BERRYS HEAD RD WYOMING 2250,20260115,750000,1337.0,R2
3 GULL PL TASCOTT 2250,20260112,780000,512.2,R2
5 GARAFALO RD KARIONG 2250,20260115,970000,480.0,R2
7 DIGBY RD SPRINGFIELD 2250,20260112,1210000,556.4,R2
3 DALEY AVE DALEYS POINT 2257,20260115,1160000,885.2,R2
58 DUFFYS RD TERRIGAL 2260,20260112,1600000,608.5,R2
20 DAVIES ST KINCUMBER 2251,20260114,1210000,612.7,R2
